accepted_bin,wood_density,root_depth,leaf_n,leaf_p,stem_diameter,bark_thickness,seed_dry_mass,leaf_k,stomatal_conduct.,leaf_thickness,leaf_density,leaf_vcmax,conduit_diam.,crown_diameter,crown_height,tree_height,leaf_area,specific_leaf_area,shade,drought,water,cold,fire_tol,growth_rate
Larix laricina,0.4901388983294,4.1,13.60328763763827,1.1441582397071568,1.5188924567690472,3.824100057307918,2.704853934019658,5.5818393365524335,89.03224729435043,0.4021461581938207,0.30919948166713557,0.2779997603835616,12.01224442216727,9.325,32.49000000000001,49.99999999999999,15.26125844268709,8.650484195862115,0.98,2,3,-61.6,1,3
Liriodendron tulipifera,0.4113032353742088,0.9144,19.04835943000566,1.5188950909264318,1.34,5.279373316922755,29.073762494523805,11.234471341013224,104.60287011347084,0.1305827731167567,0.4190206125564914,0.2569321783388183,24.61211929543617,6.999999999999999,18.300000000000004,61.00000000000001,15933.087064093945,17.199637186274874,2.07,2.6,1.3,-27.7,3,3
Morus rubra,0.6294488094764366,3.9624,17.646993138518525,1.8841135626238343,0.643,4.544107859730708,3.3928999688311525,11.578763119858952,155.70606336247866,0.10408282208282987,0.4834797103659528,0.33026025454555125,35.66817273959324,6.480438018527173,3.5,40,6701.153988629087,22.77151592009727,2.34,2.88,1.57,-36.11,2,2
Nyssa sylvatica,0.4968832466384551,0.8636,15.560785535827405,1.2862908655280114,0.416381162,3.2523721129640144,282.0673061664491,11.3735315567964,76.29570604392583,0.10652351045957437,0.5919187989835757,0.28789128777017126,24.756083325225408,6.7933790715,13.2,36.99999999999999,3814.455389276058,20.45494523672223,3.52,2,1.87,-34,2,2
Ostrya virginiana,0.6288655027020078,3.5052,21.416389875536773,1.433387302119025,0.6116790531194328,2.684536726895302,10.704359646897576,6.776872878303708,270.69113782029046,0.08837096443042136,0.5380497912488391,0.764243334238872,27.44976949537495,11.35,12.205743141827885,22.8,385.3104250967458,24.02114094736043,4.58,3.25,1.07,-38.8,3,1
Picea abies,0.4630514719159359,2.3,12.18708502455529,1.370392642459314,1.7,8.184689891556028,8.164961996575823,5.326775357972183,65.16268648879341,0.6060590371016644,0.3776441454784139,0.17668000313727972,11.093693241680375,10.9,41.29999999999999,100.00000000000004,13.592697753141936,5.889573334822412,NA,NA,NA,NA,NA,NA
Picea glauca,0.4185027032551167,1.8796,11.611326280372037,1.3283770374405477,0.664,7.584491586632962,3.9355864152986255,5.789141251193432,91.00312962508096,0.8351283143092532,0.3721034787474784,0.14551355753841083,16.70578375725876,8.907471239232404,17.21,55.000000000000014,17.189927016626374,6.809919797455135,4.15,2.88,2,-53.8,2,1
Picea mariana,0.4390005641356772,1.8,10.725837927704344,0.9601980403532158,0.828,2.20221394433782,3.3396031439154794,5.378701126916108,61.860047863642734,0.6890477051145708,0.28975943171330076,0.18676020662334517,13.913635390594196,10.9,21.35,59.999999999999986,42.7730045954807,4.4710775723201275,4.08,2,2,-61.6,1,1
Picea pungens,0.4206905512006542,1.8796,12.0243818080685,1.3466703354181508,0.664,7.690186497609926,3.791903127631404,6.88529243395133,102.56142261147912,0.8583041400552976,0.37151919757297486,0.11386530726259558,15.138263886688916,9.325,21.214080000000003,54.00000000000001,10.316604557020348,6.160759907698459,3.54,2.88,1.02,-38.8,2,1
Picea rubens,0.4045357700326413,1.4,10.7168116189773,1.071747784554907,0.64,7.494834413824936,3.3846663502636787,7.98790991105949,97.0143267813802,0.8620569241945306,0.3708430349489909,0.2038005563829563,14.037409503327968,10.9,21.35,59.999999999999986,12.02737929714838,5.525221818490106,4.39,2.5,2,-43.8,1,2
