SPCD,species,accepted_bin
6407,Casearia guianensis,Casearia guianensis
6408,Casearia,NA
6410,Casearia sylvestris,Casearia sylvestris
6415,Cassia fistula,Cassia fistula
6417,Cassia grandis,Cassia grandis
6418,Cassia javanica,Cassia javanica
6419,Cassia leptophylla,Cassia leptophylla
6420,Cassia siamea,Senna siamea
6422,Cassia,NA
6425,Cassine xylocarpa,Cassine xylocarpa
6427,Cassipourea guianensis,Cassipourea guianensis
6429,Castela erecta,Castela erecta
6430,Castilla elastica,Castilla elastica
6433,Casuarina cunninghamiana,Casuarina cunninghamiana
6434,Casuarina equisetifolia,Casuarina equisetifolia
6437,Casuarina litorea,Casuarina equisetifolia
6438,Ilex mucronata,Ilex mucronata
6439,Catalpa longissima,Catalpa longissima
6441,Cecropia obtusifolia,Cecropia obtusifolia
6443,Cecropia schreberiana,Cecropia schreberiana
6444,Cecropia,NA
6445,Cedrela odorata,Cedrela odorata
6447,Ceiba acuminata,Ceiba acuminata
6448,Ceiba aesculifolia,Ceiba aesculifolia
6449,Ceiba pentandra,Ceiba pentandra
6452,Celtis paniculata,Celtis paniculata
6454,Celtis trinervia,Celtis trinervia
6457,Ceratonia siliqua,Ceratonia siliqua
6458,Celtis sinensis,Celtis sinensis
6459,Cerbera dilatata,Cerbera inflata
6460,Cerbera floribunda,Cerbera floribunda
6461,Cerbera manghas,Cerbera manghas
6462,Cerbera odollam,Cerbera odollam
6463,Cerbera,NA
6468,Cereus hexagonus,Cereus hexagonus
6469,Cereus hildmannianus,Cereus hildmannianus
6470,Cereus,NA
6472,Ceriops tagal,Ceriops tagal
6473,Cestrum aurantiacum,Cestrum aurantiacum
6474,Cestrum diurnum,Cestrum diurnum
6475,Cestrum laurifolium,Cestrum diurnum
6477,Cestrum nocturnum,Cestrum nocturnum
6478,Cestrum,NA
6479,Ostrya knowltonii,Ostrya knowltonii
6480,Chamaerops humilis,Chamaerops humilis
6481,Chamaesyce articulata,Euphorbia articulata
6482,Chamaesyce atrococca,Euphorbia atrococca
6483,Chamaesyce celastroides,Euphorbia celastroides
6492,Chamaesyce herbstii,Euphorbia herbstii
6493,Chamaesyce kuwaleana,Euphorbia kuwaleana
6494,Chamaesyce olowaluana,Euphorbia olowaluana
6495,Chamaesyce rockii,Euphorbia rockii
6496,Chamaesyce,NA
6497,Charpentiera densiflora,Charpentiera densiflora
6498,Charpentiera elliptica,Charpentiera elliptica
6499,Charpentiera obovata,Charpentiera obovata
6500,Charpentiera ovata,Charpentiera ovata
6503,Charpentiera,NA
6504,Charpentiera tomentosa,Charpentiera tomentosa
6507,Cheirodendron dominii,Cheirodendron dominii
6508,Cheirodendron fauriei,Cheirodendron fauriei
6509,Cheirodendron forbesii,Cheirodendron forbesii
6510,Cheirodendron platyphyllum,Cheirodendron platyphyllum
6511,Persea palustris,Persea palustris
6513,Cheirodendron,NA
6514,Cheirodendron trigynum,Cheirodendron trigynum
6516,Phellodendron amurense,Phellodendron amurense
6517,Chenopodium oahuense,Chenopodium oahuense
6518,Chenopodium,NA
6519,Chionanthus axilliflorus,Chionanthus axilliflorus
6520,Chionanthus compactus,Chionanthus compactus
6521,Chionanthus domingensis,Chionanthus ligustrinus
6522,Chionanthus holdridgei,Chionanthus holdridgii
6523,Chionanthus ligustrinus,Chionanthus ligustrinus
6524,Chionanthus retusus,Chionanthus retusus
6525,Chionanthus vitiensis,Chionanthus vitiensis
6526,Chione seminervis,Wandersong seminervis
6528,Chione venosa,Chione venosa
6529,Chlorophora excelsa,Milicia excelsa
6532,Chorisia speciosa,Ceiba speciosa
6533,Picea glehnii,Picea glehnii
6535,Chrysobalanus icaco,Chrysobalanus icaco
6538,Picea omorika,Picea omorika
6539,Chrysophyllum argenteum,Chrysophyllum argenteum
6541,Chrysophyllum cainito,Chrysophyllum cainito
6542,Chrysophyllum oliviforme,Chrysophyllum oliviforme
6543,Chrysophyllum pauciflorum,Chrysophyllum pauciflorum
6545,Cibotium heleniae,NA
6546,Cibotium chamissoi,NA
6547,Cibotium glaucum,NA
6548,Cibotium menziesii,NA
6549,Cibotium,NA
6552,Cinchona pubescens,Cinchona pubescens
6553,Cinchona,NA
6554,Cinnamomum aromaticum,NA
6555,Cinnamomum burmannii,Cinnamomum burmanni
6557,Cinnamomum carolinense,Cinnamomum pedatinervium
6559,Cinnamomum elongatum,Phoebe montana
6560,Cinnamomum montanum,Phoebe montana
6561,Cinnamomum pedatinervium,Cinnamomum pedatinervium
6562,Cinnamomum sessilifolium,Cinnamomum sessilifolium
6563,Cinnamomum,NA
6564,Cinnamomum verum,Cinnamomum verum
6565,Citharexylum caudatum,Citharexylum caudatum
6567,Citharexylum spinosum,Citharexylum spinosum
6568,Citharexylum,NA
6569,Citharexylum tristachyum,NA
6570,Citronella samoensis,Citronella samoensis
6572,Citrus aurantifolia,NA
6573,Citrus xaurantiifolia,NA
6574,Citrus xaurantium,NA
6575,Citrus xlimon,NA
6576,Citrus xparadisi,NA
6577,Citrus xsinensis,NA
6578,Citrus grandis,Citrus maxima
6579,Citrus hystrix,Citrus hystrix
6580,Citrus macroptera,Citrus hystrix
6581,Citrus maxima,Citrus maxima
6582,Citrus medica,Citrus medica
6583,Citrus mitis,NA
6584,Citrus reticulata,NA
6586,Claoxylon carolinianum,Claoxylon carolinianum
6588,Claoxylon fallax,Claoxylon fallax
6589,Claoxylon longiracemosum,Claoxylon longiracemosum
6590,Claoxylon marianum,Claoxylon marianum
6591,Claoxylon sandwicense,Claoxylon sandwicense
6592,Claoxylon,NA
6593,Cleistanthus carolinianus,Cleistanthus carolinianus
6594,Cleistanthus insularis,Cleistanthus insularis
6595,Cleistanthus,NA
6596,Clermontia leptoclada,NA
6597,Clermontia arborescens,Clermontia arborescens
6601,Clermontia clermontioides,Clermontia clermontioides
6604,Clermontia drepanomorpha,Clermontia drepanomorpha
6605,Clermontia fauriei,Clermontia fauriei
6606,Clermontia grandiflora,Clermontia grandiflora
6610,Clermontia hawaiiensis,Clermontia hawaiiensis
6611,Clermontia kakeana,Clermontia kakeana
6612,Clermontia kohalae,Clermontia kohalae
6613,Clermontia lindseyana,Clermontia lindseyana
6614,Clermontia micrantha,Clermontia micrantha
6615,Clermontia montis-loa,Clermontia montis-loa
6616,Clermontia oblongifolia,Clermontia oblongifolia
6620,Clermontia pallida,Clermontia pallida
6621,Clermontia parviflora,Clermontia parviflora
6622,Clermontia peleana,Clermontia peleana
6625,Clermontia persicifolia,Clermontia persicifolia
6626,Clermontia pyrularia,Clermontia pyrularia
6627,Clermontia singuliflora,Clermontia peleana
6628,Clermontia,NA
6629,Clermontia tuberculata,Clermontia tuberculata
6630,Clermontia waimeae,Clermontia waimeae
6631,Clerodendrum aculeatum,Volkameria aculeata
6632,Clerodendrum chinense,Clerodendrum chinense
6633,Clerodendrum glabrum,Volkameria glabra
6634,Clerodendrum indicum,Clerodendrum indicum
6635,Clerodendrum macrostegium,Clerodendrum macrostegium
6636,Clerodendrum,NA
6637,Cleyera albopunctata,Cleyera albopunctata
6639,Clibadium erosum,Clibadium erosum
6641,Clidemia cymosa,Clidemia umbellata
6642,Clidemia hirta,NA
6644,Clitoria fairchildiana,Clitoria fairchildiana
6645,Clinostigma carolinense,Clinostigma carolinense
6646,Clusia clusioides,Clusia clusioides
6648,Clusia gundlachii,Clusia gundlachii
6650,Clusia minor,Clusia minor
6651,Clusia rosea,Clusia rosea
6652,Clusia,NA
6653,Cnemidaria horrida,NA
6655,Cnidoscolus aconitifolius,Cnidoscolus aconitifolius
6658,Coccoloba costata,Coccoloba costata
6660,Coccoloba krugii,Coccoloba krugii
6661,Coccoloba microstachya,Coccoloba microstachya
6662,Coccoloba pallida,Coccoloba pallida
6663,Coccoloba pubescens,Coccoloba pubescens
6664,Coccoloba pyrifolia,Coccoloba pyrifolia
6665,Coccoloba rugosa,Coccoloba rugosa
6666,Coccoloba sintenisii,Coccoloba sintenisii
6668,Coccoloba swartzii,Coccoloba swartzii
6669,Coccoloba tenuifolia,Coccoloba tenuifolia
6670,Coccoloba uvifera,Coccoloba uvifera
6671,Coccoloba venosa,Coccoloba venosa
6673,Coccothrinax barbadensis,Coccothrinax barbadensis
6679,Cochlospermum vitifolium,Cochlospermum vitifolium
6681,Cocos,NA
6683,Codiaeum variegatum,Codiaeum variegatum
6684,Coffea arabica,Coffea arabica
6685,Coffea robusta,Coffea canephora
6686,Coffea liberica,Coffea liberica
6687,Coffea,NA
6688,Cojoba arborea,Cojoba arborea
6689,Cola acuminata,Cola acuminata
6691,Colona scabra,NA
6693,Colubrina arborescens,Colubrina arborescens
6694,Colubrina asiatica,Colubrina asiatica
6696,Prunus laurocerasus,Prunus laurocerasus
6697,Colubrina oppositifolia,Colubrina oppositifolia
6699,Colubrina,NA
6700,Colubrina verrucosa,Colubrina verrucosa
6702,Combretum tetralophum,NA
6703,Commersonia bartramia,Commersonia bartramia
6705,Comocladia dodonaea,Comocladia dodonaea
6706,Comocladia glabra,Comocladia glabra
6707,Prunus serrulata,Prunus serrulata
6708,Prunus mexicana,Prunus mexicana
6709,Conocarpus,NA
